app_id,categories
655370,Single-player
655370,Steam Achievements
655370,Full controller support
655370,Steam Leaderboards
655370,Remote Play on Phone
655370,Remote Play on Tablet
655370,Remote Play on TV
1355720,Single-player
1355720,Full controller support
1139950,Single-player
1139950,Steam Achievements
1469160,Single-player
1469160,Multi-player
1469160,MMO
1469160,PvP
1469160,Online PvP
1469160,Co-op
1469160,Online Co-op
1469160,In-App Purchases
1659180,Single-player
1659180,Steam Achievements
1659180,Steam Cloud
1178150,Single-player
1178150,Steam Achievements
1178150,Full controller support
320150,Single-player
320150,Steam Achievements
320150,Steam Trading Cards
320150,Partial Controller Support
320150,Steam Cloud
1026420,Single-player
1026420,Steam Achievements
1026420,Steam Trading Cards
1026420,Steam Cloud
1026420,Remote Play on Tablet
485000,Single-player
485000,Multi-player
485000,Shared/Split Screen
485000,Cross-Platform Multiplayer
485000,In-App Purchases
485000,Remote Play Together
1620060,Single-player
1620060,Steam Achievements
825930,Single-player
825930,Steam Achievements
825930,Steam Leaderboards
1454010,Single-player
1454010,Partial Controller Support
1454010,Steam Cloud
1330820,Single-player
346560,Single-player
346560,Steam Achievements
346560,Steam Trading Cards
346560,Steam Cloud
346560,Remote Play on Phone
346560,Remote Play on Tablet
1362670,Single-player
290870,Single-player
290870,Multi-player
290870,PvP
290870,Shared/Split Screen PvP
290870,Shared/Split Screen
290870,Cross-Platform Multiplayer
290870,Steam Achievements
290870,Steam Trading Cards
290870,Steam Cloud
290870,Remote Play Together
575760,Single-player
575760,Steam Trading Cards
434030,Single-player
434030,Partial Controller Support
810740,Single-player
2073470,Single-player
2073470,Multi-player
2073470,MMO
2073470,PvP
2073470,Online PvP
2073470,Co-op
2073470,Online Co-op
2073470,Partial Controller Support
589250,Single-player
589250,Steam Achievements
677880,Single-player
677880,Steam Achievements
677880,Partial Controller Support
1294780,Single-player
1294780,Steam Achievements
1294780,Steam Leaderboards
1342850,Single-player
1342850,Full controller support
793990,Single-player
793990,Steam Achievements
955490,Single-player
955490,Steam Achievements
552350,Single-player
552350,Steam Trading Cards
552350,Partial Controller Support
1195610,Single-player
1095380,Single-player
1158910,Single-player
1158910,Steam Cloud
1194940,Single-player
262150,Single-player
262150,Multi-player
262150,PvP
262150,Shared/Split Screen PvP
262150,Shared/Split Screen
262150,Steam Trading Cards
262150,Captions available
262150,Steam Workshop
262150,Partial Controller Support
262150,Remote Play Together
1192900,Multi-player
1192900,PvP
1192900,Online PvP
1192900,Co-op
1192900,Online Co-op
1192900,Cross-Platform Multiplayer
866150,Single-player
866150,Steam Achievements
231330,Single-player
231330,Multi-player
231330,Co-op
231330,Steam Achievements
231330,Steam Trading Cards
231330,Partial Controller Support
231330,Steam Cloud
231330,Steam Leaderboards
897820,Single-player
897820,Steam Achievements
897820,Full controller support
658970,Multi-player
658970,MMO
658970,PvP
658970,Online PvP
658970,Co-op
658970,Online Co-op
658970,Cross-Platform Multiplayer
658970,Steam Achievements
658970,In-App Purchases
1777550,Single-player
552520,Single-player
552520,Multi-player
552520,Co-op
552520,Online Co-op
552520,Steam Trading Cards
552520,Captions available
552520,In-App Purchases
552520,Partial Controller Support
552520,Includes level editor
718350,Single-player
433450,Single-player
433450,Steam Achievements
433450,Full controller support
433450,Steam Trading Cards
433450,Steam Cloud
1709450,Single-player
1431470,Single-player
1431470,Steam Achievements
763550,Single-player
763550,Multi-player
763550,Co-op
763550,Online Co-op
763550,Steam Achievements
1445370,Multi-player
1445370,PvP
1445370,Online PvP
1445370,LAN PvP
1445370,Co-op
1445370,Online Co-op
1445370,LAN Co-op
464230,Single-player
464230,Steam Achievements
464230,Full controller support
464230,Steam Trading Cards
1293830,Single-player
1293830,Multi-player
1293830,PvP
1293830,Online PvP
1293830,Co-op
1293830,Online Co-op
1293830,Cross-Platform Multiplayer
1293830,Steam Achievements
1293830,Full controller support
1293830,Steam Trading Cards
1293830,Steam Cloud
1509640,Single-player
1135380,Single-player
1944730,Single-player
1944730,Steam Achievements
1944730,Full controller support
1944730,Steam Cloud
1144900,Single-player
306350,Single-player
306350,Steam Trading Cards
1684530,Single-player
1557480,Single-player
1557480,Multi-player
1557480,PvP
1557480,Online PvP
1557480,Partial Controller Support
1128520,Single-player
1647430,Single-player
1845050,Single-player
1845050,Steam Achievements
1163340,Single-player
1163340,Multi-player
1163340,Cross-Platform Multiplayer
541570,Single-player
541570,Steam Achievements
541570,Full controller support
541570,Steam Trading Cards
1292520,Single-player
1292520,Steam Achievements
1292520,Full controller support
1467330,Single-player
1467330,Steam Achievements
1467330,Partial Controller Support
1467330,Steam Cloud
1624600,Multi-player
1624600,PvP
1624600,Online PvP
1624600,LAN PvP
1624600,Co-op
1624600,Online Co-op
1624600,LAN Co-op
1624600,Full controller support
1624600,Steam Leaderboards
870000,Single-player
870000,Steam Achievements
870000,Partial Controller Support
870000,Steam Leaderboards
768060,Single-player
1281400,Single-player
1281400,Multi-player
1281400,Co-op
1281400,Shared/Split Screen Co-op
1281400,Shared/Split Screen
1281400,Steam Achievements
1281400,Full controller support
1281400,Steam Workshop
1281400,Steam Cloud
1281400,Stats
1281400,Steam Leaderboards
1281400,Includes level editor
1281400,Remote Play Together
372890,Single-player
1023420,Single-player
1141880,Single-player
1141880,Multi-player
1141880,PvP
1141880,Online PvP
1141880,Steam Achievements
1022840,Single-player
652160,Single-player
652160,Multi-player
652160,PvP
652160,Shared/Split Screen PvP
652160,Shared/Split Screen
652160,Partial Controller Support
652160,Remote Play Together
968580,Single-player
1131550,Single-player
1729790,Single-player
1729790,Multi-player
1729790,Co-op
1729790,Online Co-op
1729790,LAN Co-op
1729790,Steam Achievements
368080,Single-player
368080,Steam Achievements
368080,Full controller support
368080,Steam Trading Cards
368080,Stats
572510,Single-player
572510,Multi-player
572510,PvP
572510,Shared/Split Screen PvP
572510,Shared/Split Screen
572510,Steam Achievements
572510,Full controller support
572510,Steam Cloud
572510,Steam Leaderboards
572510,Remote Play Together
1232510,Single-player
1232510,Multi-player
1232510,MMO
1232510,PvP
1232510,Online PvP
1232510,Co-op
1232510,Online Co-op
1066890,Single-player
1066890,Multi-player
1066890,PvP
1066890,Online PvP
1066890,LAN PvP
1066890,Full controller support
817370,Single-player
457140,Single-player
457140,Steam Trading Cards
1774810,Single-player
1886290,Single-player
1886290,Steam Achievements
1886290,Full controller support
1886290,Steam Leaderboards
1514360,Single-player
1514360,Steam Achievements
1514360,Steam Cloud
1374280,Single-player
1374280,Steam Achievements
1374280,Full controller support
1374280,Steam Cloud
863490,Single-player
863490,Steam Achievements
863490,Full controller support
863490,Steam Cloud
863490,Steam Leaderboards
396640,Single-player
396640,Multi-player
396640,Shared/Split Screen
396640,Partial Controller Support
396640,Remote Play Together
726020,Single-player
726020,Steam Achievements
726020,Full controller support
726020,Steam Cloud
424060,Single-player
424060,Steam Achievements
514870,Single-player
514870,Steam Achievements
514870,Full controller support
514870,Remote Play on TV
548290,Multi-player
548290,MMO
548290,PvP
548290,Online PvP
695420,Single-player
695420,Steam Achievements
695420,Steam Workshop
695420,Steam Cloud
695420,Stats
695420,Steam Leaderboards
695420,Includes level editor
1241110,Single-player
587490,Single-player
587490,Steam Achievements
587490,Partial Controller Support
546050,Single-player
546050,Multi-player
546050,PvP
546050,Online PvP
546050,Shared/Split Screen PvP
546050,Shared/Split Screen
546050,Steam Achievements
546050,Full controller support
546050,Steam Trading Cards
546050,Steam Cloud
546050,Steam Leaderboards
546050,Remote Play on Phone
546050,Remote Play on Tablet
546050,Remote Play on TV
546050,Remote Play Together
301700,Single-player
2004200,Single-player
1588070,Single-player
1588070,Steam Achievements
730310,Single-player
730310,Multi-player
730310,PvP
730310,Online PvP
730310,Shared/Split Screen PvP
730310,Co-op
730310,Online Co-op
730310,Shared/Split Screen Co-op
730310,Steam Achievements
730310,Full controller support
730310,Steam Trading Cards
730310,Steam Cloud
730310,Remote Play Together
242530,Single-player
242530,Multi-player
242530,Co-op
242530,Shared/Split Screen
242530,Steam Achievements
242530,Steam Trading Cards
242530,Captions available
242530,Partial Controller Support
242530,Steam Cloud
242530,Steam Leaderboards
242530,Remote Play Together
1372570,Single-player
1372570,Steam Achievements
1345820,Single-player
1345820,Multi-player
1345820,PvP
1345820,Online PvP
1345820,Steam Achievements
420270,Single-player
420270,Steam Achievements
420270,Steam Trading Cards
435790,Single-player
435790,Steam Achievements
435790,Full controller support
435790,Steam Trading Cards
435790,Steam Leaderboards
435790,Remote Play on TV
926310,Single-player
926310,Steam Achievements
926310,Captions available
788020,Single-player
788020,Multi-player
788020,PvP
788020,Online PvP
788020,Cross-Platform Multiplayer
788020,Steam Achievements
788020,Full controller support
788020,Stats
788020,Steam Leaderboards
467400,Single-player
856730,Single-player
1106950,Single-player
1106950,Steam Achievements
1274570,Single-player
1274570,Multi-player
1274570,Co-op
1274570,Online Co-op
1274570,Steam Achievements
1274570,Full controller support
1274570,Steam Trading Cards
1274570,Steam Cloud
1470790,Single-player
1470790,Multi-player
1470790,PvP
1470790,Shared/Split Screen PvP
1470790,Shared/Split Screen
1470790,Steam Achievements
1470790,Partial Controller Support
1470790,Remote Play Together
1087620,Single-player
1087620,Steam Achievements
1087620,Partial Controller Support
1087620,Steam Cloud
1348430,Single-player
1348430,Steam Achievements
1348430,Partial Controller Support
1547580,Single-player
1547580,Steam Achievements
1547580,Captions available
1547580,Steam Cloud
1253680,Single-player
1253680,Multi-player
1253680,PvP
1253680,Shared/Split Screen PvP
1253680,Co-op
1253680,Shared/Split Screen Co-op
1253680,Shared/Split Screen
1253680,Steam Achievements
1253680,Full controller support
1253680,Remote Play Together
497670,Single-player
497670,Steam Trading Cards
497670,Partial Controller Support
850040,Single-player
850040,Full controller support
850040,Steam Cloud
741770,Single-player
741770,Steam Leaderboards
572330,Single-player
572330,Steam Trading Cards
1683240,Single-player
1683240,Steam Achievements
567150,Single-player
567150,Steam Trading Cards
700880,Single-player
1413090,Single-player
1413090,Steam Achievements
1610860,Single-player
1610860,Multi-player
1610860,Co-op
1610860,Shared/Split Screen Co-op
1610860,Shared/Split Screen
1610860,Steam Achievements
1610860,Full controller support
1610860,Steam Cloud
1610860,Stats
1610860,Steam Leaderboards
1610860,Remote Play Together
1305570,Single-player
1305570,Partial Controller Support
1609730,Single-player
717980,Single-player
717980,Steam Achievements
1417450,Single-player
778900,Single-player
778900,Partial Controller Support
1004200,Single-player
1004200,Steam Achievements
1506230,Single-player
638230,Single-player
638230,Multi-player
638230,Co-op
638230,Online Co-op
638230,Steam Achievements
638230,Full controller support
638230,Steam Cloud
638230,Remote Play on Phone
638230,Remote Play on Tablet
638230,Remote Play on TV
1839080,Single-player
1839080,Steam Achievements
1839080,Full controller support
1839080,Steam Workshop
1839080,Steam Cloud
1839080,Stats
1839080,Steam Leaderboards
907460,Single-player
1307070,Single-player
1307070,Steam Leaderboards
1221640,Single-player
1221640,Multi-player
1221640,PvP
1221640,Shared/Split Screen PvP
1221640,Shared/Split Screen
1221640,Steam Achievements
1221640,Partial Controller Support
1221640,Remote Play Together
703120,Single-player
703120,Steam Achievements
328710,Single-player
328710,Steam Achievements
926140,Single-player
926140,Steam Achievements
1700630,Single-player
1700630,Steam Achievements
1700630,Steam Cloud
845290,Single-player
845290,Steam Achievements
845290,Steam Cloud
845290,Stats
739720,Single-player
1776800,Single-player
1776800,Steam Cloud
873970,Single-player
1593100,Single-player
1593100,Steam Achievements
1593100,Partial Controller Support
1593100,Steam Cloud
1365900,Single-player
962950,Single-player
778120,Single-player
778120,Steam Achievements
778120,Full controller support
778120,Steam Cloud
778120,Steam Leaderboards
1187910,Single-player
763350,Single-player
763350,Multi-player
763350,PvP
763350,Shared/Split Screen PvP
763350,Co-op
763350,Shared/Split Screen Co-op
763350,Shared/Split Screen
763350,Steam Achievements
763350,Full controller support
763350,Remote Play Together
1537410,Single-player
1537410,Steam Achievements
1537410,Full controller support
761910,Single-player
761910,Multi-player
761910,PvP
761910,Online PvP
761910,Shared/Split Screen PvP
761910,Co-op
761910,Online Co-op
761910,Shared/Split Screen Co-op
761910,Shared/Split Screen
761910,Steam Achievements
761910,Full controller support
761910,Steam Trading Cards
761910,Steam Cloud
761910,Remote Play Together
975470,Single-player
975470,Steam Achievements
975470,Steam Trading Cards
975470,Partial Controller Support
975470,Steam Cloud
990900,Single-player
990900,Full controller support
990900,Steam Cloud
372770,Single-player
462580,Single-player
462580,Steam Trading Cards
926870,Single-player
926870,Multi-player
926870,Co-op
926870,Shared/Split Screen Co-op
926870,Partial Controller Support
926870,Remote Play Together
848720,Single-player
1343040,Single-player
1343040,Multi-player
1343040,PvP
1343040,Online PvP
1343040,In-App Purchases
1343040,Partial Controller Support
519140,Single-player
821260,Single-player
1565720,Single-player
1565720,Steam Achievements
1565720,Steam Leaderboards
748490,Single-player
748490,Steam Achievements
748490,Steam Trading Cards
748490,Partial Controller Support
748490,Steam Cloud
748490,Steam Leaderboards
545000,Single-player
545000,Steam Cloud
1623720,Single-player
